District,State,Anemia_Prevalence,Geo_Risk
Nicobars,Andaman & Nicobar Islands,38.3,Low
North & Middle Andaman ,Andaman & Nicobar Islands,62.07,High
South Andaman ,Andaman & Nicobar Islands,57.66,High
Srikakulam ,Andhra Pradesh,62.59,High
Vizianagaram ,Andhra Pradesh,64.04,High
Visakhapatnam ,Andhra Pradesh,58.02,High
East Godavari ,Andhra Pradesh,62.96,High
West Godavari ,Andhra Pradesh,63.04,High
Krishna ,Andhra Pradesh,60.32,High
Guntur ,Andhra Pradesh,59.51,High
Prakasam ,Andhra Pradesh,60.43,High
Sri Potti Sriramulu Nello ,Andhra Pradesh,59.39,High
Y.S.R. ,Andhra Pradesh,56.13,High
Kurnool ,Andhra Pradesh,58.58,High
Anantapur ,Andhra Pradesh,50.45,High
Chittoor ,Andhra Pradesh,51.8,High
Tawang ,Arunachal Pradesh,59.07,High
West Kameng ,Arunachal Pradesh,37.36,Low
East Kameng ,Arunachal Pradesh,26.21,Low
Papum Pare ,Arunachal Pradesh,38.44,Low
Upper Subansiri ,Arunachal Pradesh,36.69,Low
Upper Siang ,Arunachal Pradesh,29.17,Low
Changlang ,Arunachal Pradesh,57.21,High
Lower Subansiri ,Arunachal Pradesh,40.46,Medium
Dibang Valley ,Arunachal Pradesh,62.87,High
Lower Dibang Valley ,Arunachal Pradesh,34.6,Low
Anjaw ,Arunachal Pradesh,35.86,Low
East Siang ,Arunachal Pradesh,35.2,Low
Kra Daadi ,Arunachal Pradesh,22.6,Low
Kurung Kumey ,Arunachal Pradesh,34.79,Low
Lohit ,Arunachal Pradesh,47.21,Medium
Longding ,Arunachal Pradesh,34.12,Low
Namsai ,Arunachal Pradesh,58.56,High
Siang ,Arunachal Pradesh,23.94,Low
Tirap ,Arunachal Pradesh,31.99,Low
West Siang ,Arunachal Pradesh,30.54,Low
Kokrajhar ,Assam,59.45,High
Goalpara ,Assam,64.88,High
Barpeta ,Assam,64.83,High
Morigaon ,Assam,64.24,High
Lakhimpur ,Assam,65.42,High
Dhemaji ,Assam,62.88,High
Tinsukia ,Assam,72.84,High
Dibrugarh ,Assam,70.79,High
Golaghat ,Assam,77.15,High
Dima Hasao ,Assam,60.49,High
Cachar ,Assam,57.36,High
Karimganj ,Assam,52.01,High
Hailakandi ,Assam,61.36,High
Bongaigaon ,Assam,70.63,High
Chirang ,Assam,65.19,High
Kamrup ,Assam,71.46,High
Kamrup Metropolitan ,Assam,74.61,High
Nalbari ,Assam,66.37,High
Baksa ,Assam,73.56,High
Darrang ,Assam,70.39,High
Udalguri ,Assam,81.49,High
Biswanath ,Assam,64.36,High
Charaideo ,Assam,72.27,High
Dhubri ,Assam,63.23,High
Hojai ,Assam,56.34,High
Jorhat ,Assam,71.83,High
Karbi Anglong ,Assam,58.97,High
Majuli ,Assam,67.81,High
Nagaon ,Assam,61.03,High
Sivasagar ,Assam,67.6,High
Sonitpur ,Assam,63.62,High
South Salmara Mancachar ,Assam,57.13,High
West Karbi Anglong ,Assam,57.94,High
Pashchim Champaran ,Bihar,50.58,High
Purba Champaran ,Bihar,57.33,High
Sheohar ,Bihar,61.64,High
Sitamarhi ,Bihar,61.68,High
Madhubani ,Bihar,61.44,High
Supaul ,Bihar,60.7,High
Araria ,Bihar,67.94,High
Kishanganj ,Bihar,65.12,High
Purnia ,Bihar,66.03,High
Katihar ,Bihar,68.37,High
Madhepura ,Bihar,65.72,High
Saharsa ,Bihar,65.3,High
Darbhanga ,Bihar,60.75,High
Muzaffarpur ,Bihar,58.88,High
Gopalganj ,Bihar,53.77,High
